# theta1 theta2 steps max_norm_drift
4.000000e-01 1.000000e-01 1.000000e+01 1.110223e-15
4.000000e-01 1.000000e-01 5.000000e+01 5.551115e-15
4.000000e-01 1.000000e-01 1.000000e+02 1.199041e-14
4.000000e-01 2.000000e-01 1.000000e+01 2.220446e-16
4.000000e-01 2.000000e-01 5.000000e+01 4.440892e-16
4.000000e-01 2.000000e-01 1.000000e+02 4.440892e-16
4.000000e-01 3.000000e-01 1.000000e+01 7.771561e-16
4.000000e-01 3.000000e-01 5.000000e+01 3.552714e-15
4.000000e-01 3.000000e-01 1.000000e+02 6.439294e-15
4.000000e-01 4.000000e-01 1.000000e+01 4.440892e-16
4.000000e-01 4.000000e-01 5.000000e+01 1.776357e-15
4.000000e-01 4.000000e-01 1.000000e+02 3.552714e-15
4.000000e-01 5.000000e-01 1.000000e+01 2.220446e-16
4.000000e-01 5.000000e-01 5.000000e+01 1.776357e-15
4.000000e-01 5.000000e-01 1.000000e+02 3.774758e-15
4.000000e-01 6.000000e-01 1.000000e+01 8.881784e-16
4.000000e-01 6.000000e-01 5.000000e+01 4.440892e-15
4.000000e-01 6.000000e-01 1.000000e+02 8.881784e-15
5.000000e-01 0.000000e+00 1.000000e+01 4.440892e-16
5.000000e-01 0.000000e+00 5.000000e+01 1.554312e-15
5.000000e-01 0.000000e+00 1.000000e+02 2.886580e-15
5.000000e-01 1.000000e-01 1.000000e+01 1.776357e-15
5.000000e-01 1.000000e-01 5.000000e+01 6.217249e-15
5.000000e-01 1.000000e-01 1.000000e+02 1.332268e-14
5.000000e-01 2.000000e-01 1.000000e+01 4.440892e-16
5.000000e-01 2.000000e-01 5.000000e+01 4.440892e-16
5.000000e-01 2.000000e-01 1.000000e+02 4.440892e-16
5.000000e-01 3.000000e-01 1.000000e+01 5.551115e-16
5.000000e-01 3.000000e-01 5.000000e+01 3.330669e-15
5.000000e-01 3.000000e-01 1.000000e+02 6.439294e-15
5.000000e-01 4.000000e-01 1.000000e+01 4.440892e-16
5.000000e-01 4.000000e-01 5.000000e+01 1.776357e-15
5.000000e-01 4.000000e-01 1.000000e+02 3.996803e-15
5.000000e-01 5.000000e-01 1.000000e+01 4.440892e-16
5.000000e-01 5.000000e-01 5.000000e+01 3.108624e-15
5.000000e-01 5.000000e-01 1.000000e+02 5.551115e-15
5.000000e-01 6.000000e-01 1.000000e+01 1.332268e-15
5.000000e-01 6.000000e-01 5.000000e+01 4.884981e-15
5.000000e-01 6.000000e-01 1.000000e+02 9.325873e-15
6.000000e-01 0.000000e+00 1.000000e+01 4.440892e-16
6.000000e-01 0.000000e+00 5.000000e+01 3.108624e-15
6.000000e-01 0.000000e+00 1.000000e+02 6.217249e-15
6.000000e-01 1.000000e-01 1.000000e+01 1.998401e-15
6.000000e-01 1.000000e-01 5.000000e+01 8.881784e-15
6.000000e-01 1.000000e-01 1.000000e+02 1.731948e-14
6.000000e-01 2.000000e-01 1.000000e+01 4.440892e-16
6.000000e-01 2.000000e-01 5.000000e+01 2.442491e-15
6.000000e-01 2.000000e-01 1.000000e+02 5.329071e-15
6.000000e-01 3.000000e-01 1.000000e+01 4.440892e-16
6.000000e-01 3.000000e-01 5.000000e+01 1.332268e-15
6.000000e-01 3.000000e-01 1.000000e+02 2.553513e-15
6.000000e-01 4.000000e-01 1.000000e+01 8.881784e-16
6.000000e-01 4.000000e-01 5.000000e+01 4.440892e-15
6.000000e-01 4.000000e-01 1.000000e+02 8.881784e-15
